transaction_id,created_at,user_id,device_id,ip_id,merchant_id,country,card_country,channel,psp_name,payment_method,amount,bin_risk,ip_risk_level,user_age_days,email_risk,is_3ds,retry_count,auth_status,decline_code,is_psp_outage_window,fraud_label
21,2024-01-01 00:20:00,21620,14361,11216,19,US,US,App,Adyen,VISA,79.13,0.1826,0.2298,45,0,0,0,Declined,201,0,0
22,2024-01-01 00:21:00,24060,4685,34825,1885,US,US,Web,Adyen,VISA,64.92,0.2004,0.0829,4,0,0,2,Approved,,0,0
23,2024-01-01 00:22:00,21069,3438,39639,1431,DE,DE,App,Adyen,VISA,14.61,0.0401,0.1922,27,0,0,1,Approved,,0,1
24,2024-01-01 00:23:00,28504,9762,41611,735,MX,MX,App,Stripe,VISA,125.6,0.0788,0.2851,175,0,0,0,Approved,,0,0
25,2024-01-01 00:24:00,5905,10499,41239,482,IN,IN,App,Stripe,UPI,115.86,0.3443,0.0494,7,0,0,0,Approved,,0,0
26,2024-01-01 00:25:00,20114,3305,36201,875,PH,PH,App,Stripe,MASTERCARD,100.94,0.1087,0.1681,85,0,0,1,Declined,05,0,0
27,2024-01-01 00:26:00,9689,7128,34273,1324,US,US,App,Checkout,VISA,107.88,0.3141,0.0903,34,0,0,0,Approved,,0,0
28,2024-01-01 00:27:00,29935,17656,22402,1016,IN,IN,App,Adyen,UPI,3.27,0.2008,0.0373,1,0,0,0,Declined,05,0,1
29,2024-01-01 00:28:00,17014,5976,24556,1053,US,US,App,Stripe,MASTERCARD,67.95,0.1479,0.1548,9,0,1,1,Approved,,0,0
30,2024-01-01 00:29:00,801,15404,25706,1233,SG,SG,Web,Checkout,VISA,166.55,0.9015,0.1754,86,0,0,1,Approved,,0,0
31,2024-01-01 00:30:00,11952,14538,6813,467,US,US,Web,Checkout,MASTERCARD,157.21,0.2862,0.0061,10,0,0,0,Approved,,0,0
32,2024-01-01 00:31:00,17647,16569,37455,724,IN,IN,Web,Adyen,UPI,4.83,0.024,0.0229,6,0,0,0,Approved,,0,1
33,2024-01-01 00:32:00,3843,1689,12339,1162,BR,BR,App,Checkout,VISA,69.78,0.0778,0.0998,45,0,0,0,Approved,,0,1
34,2024-01-01 00:33:00,12074,9799,11129,711,US,US,App,Checkout,PayPal,63.04,0.7242,0.0105,222,0,0,0,Approved,,0,0
35,2024-01-01 00:34:00,4101,15234,1819,111,MX,MX,Web,Stripe,MASTERCARD,231.33,0.113,0.0754,70,0,0,0,Approved,,0,0
36,2024-01-01 00:35:00,7914,11893,34211,1518,SG,SG,App,Checkout,VISA,66.03,0.1579,0.1831,4,0,0,1,Approved,,0,0
37,2024-01-01 00:36:00,4675,3899,5779,1981,BR,BR,App,Checkout,PIX,62.37,0.1637,0.0517,37,0,0,0,Approved,,0,0
38,2024-01-01 00:37:00,22465,1645,37946,1199,BR,US,App,Stripe,MASTERCARD,168.71,0.0272,0.1229,233,0,0,0,Declined,91,0,0
39,2024-01-01 00:38:00,13938,13661,27807,391,ID,ID,App,Adyen,MASTERCARD,14.72,0.0707,0.2718,101,0,0,3,Approved,,0,0
40,2024-01-01 00:39:00,845,11234,17716,595,IN,IN,App,Checkout,VISA,101.35,0.2726,0.863,11,0,0,1,Declined,51,0,1
41,2024-01-01 00:40:00,1329,11326,526,663,TH,TH,Web,Adyen,MASTERCARD,75.21,0.1756,0.0552,75,0,1,1,Declined,05,0,0
42,2024-01-01 00:41:00,2933,2888,7370,921,US,US,Web,Adyen,MASTERCARD,51.65,0.2086,0.0664,6,0,0,0,Approved,,0,0
43,2024-01-01 00:42:00,4208,14928,1952,956,DE,DE,Web,Stripe,VISA,175.52,0.2144,0.1782,55,0,1,0,Approved,,0,0
44,2024-01-01 00:43:00,11153,3990,38217,1388,IN,IN,App,Adyen,UPI,36.54,0.2036,0.237,32,0,0,0,Declined,14,0,1
45,2024-01-01 00:44:00,2995,12315,43578,17,PH,PH,App,Adyen,MASTERCARD,81.76,0.1284,0.1063,10,0,0,0,Approved,,0,0
46,2024-01-01 00:45:00,19036,14485,37052,1126,DE,DE,App,Stripe,MASTERCARD,145.59,0.0996,0.1945,36,0,0,2,Approved,,0,0
47,2024-01-01 00:46:00,27087,3519,8564,1629,US,US,App,Checkout,MASTERCARD,71.26,0.1997,0.1095,104,1,0,0,Approved,,0,0
48,2024-01-01 00:47:00,27517,12537,19496,580,US,US,App,Checkout,VISA,37.89,0.0384,0.0016,22,1,0,1,Approved,,0,1
49,2024-01-01 00:48:00,12953,10179,28118,1598,PH,PH,Web,Checkout,VISA,77.37,0.8165,0.0591,67,1,1,1,Declined,14,0,0
50,2024-01-01 00:49:00,11004,3629,32483,1536,US,US,Web,Adyen,MASTERCARD,51.37,0.3563,0.0869,26,0,0,1,Declined,59,0,0
51,2024-01-01 00:50:00,9962,14238,7803,1507,DE,DE,App,Stripe,PayPal,148.17,0.1094,0.1736,59,0,0,2,Approved,,0,0
52,2024-01-01 00:51:00,22789,17107,26799,243,MX,MX,App,Checkout,MASTERCARD,185.06,0.4061,0.0504,81,0,0,0,Approved,,0,0
53,2024-01-01 00:52:00,19477,10605,16768,429,IN,IN,App,Checkout,VISA,14.76,0.0999,0.1714,12,0,0,1,Approved,,0,0
54,2024-01-01 00:53:00,11337,16742,19425,170,SG,SG,App,Checkout,PayPal,111.9,0.1437,0.085,26,0,0,0,Approved,,0,0
55,2024-01-01 00:54:00,15094,5380,41632,1395,US,US,Web,Checkout,VISA,51.65,0.2295,0.1812,36,1,1,0,Approved,,0,0
56,2024-01-01 00:55:00,18830,14519,25737,886,US,US,Web,Adyen,PayPal,73.44,0.0735,0.4235,72,1,0,0,Approved,,0,0
57,2024-01-01 00:56:00,3422,16569,35870,931,DE,DE,Web,Checkout,VISA,61.2,0.255,0.2483,68,0,0,0,Approved,,0,0
58,2024-01-01 00:57:00,8327,5568,43149,1750,US,SG,Web,Checkout,MASTERCARD,28.6,0.0594,0.0574,9,0,1,0,Approved,,0,0
59,2024-01-01 00:58:00,20738,9762,30464,1863,IN,IN,Web,Checkout,VISA,175.08,0.0313,0.0327,3,0,1,0,Declined,201,0,0
60,2024-01-01 00:59:00,15712,2896,14840,269,MX,MX,App,Checkout,VISA,244.83,0.2055,0.0448,201,1,1,0,Approved,,0,0
61,2024-01-01 01:00:00,10835,8437,23195,336,DE,DE,App,Adyen,MASTERCARD,13.92,0.064,0.0424,49,0,0,0,Approved,,0,0
62,2024-01-01 01:01:00,19298,13025,36254,1577,BR,BR,App,Stripe,VISA,130.53,0.0935,0.1622,61,0,0,0,Approved,,0,0
63,2024-01-01 01:02:00,6908,4209,15083,923,IN,IN,Web,Checkout,UPI,44.94,0.0644,0.0234,113,0,0,2,Approved,,0,1
64,2024-01-01 01:03:00,19700,9608,33316,77,IN,IN,Web,Stripe,UPI,194.7,0.1267,0.1402,64,0,0,1,Approved,,0,0
65,2024-01-01 01:04:00,10347,6835,32398,1044,MX,MX,App,Adyen,MASTERCARD,285.66,0.1718,0.2529,47,1,1,1,Approved,,0,0
66,2024-01-01 01:05:00,6738,17948,21259,1902,MX,MX,Web,Adyen,VISA,127.18,0.9753,0.1005,0,0,0,2,Declined,62,0,0
67,2024-01-01 01:06:00,17830,2189,19685,1575,BR,BR,Web,Checkout,VISA,106.25,0.2001,0.0375,74,0,0,0,Approved,,0,1
68,2024-01-01 01:07:00,9287,2299,41151,1758,IN,IN,App,Adyen,VISA,150.5,0.1029,0.043,66,0,0,1,Approved,,0,0
69,2024-01-01 01:08:00,3745,11839,17057,1775,IN,IN,Web,Stripe,UPI,80.19,0.1565,0.0842,0,1,0,0,Declined,51,0,0
70,2024-01-01 01:09:00,5786,12469,4452,1175,MX,MX,Web,Stripe,MASTERCARD,50.96,0.3125,0.0378,168,0,0,0,Approved,,0,0
71,2024-01-01 01:10:00,14471,3223,8690,805,MX,MX,App,Adyen,VISA,42.78,0.2593,0.1122,154,0,0,0,Approved,,0,0
72,2024-01-01 01:11:00,93,14659,11014,36,SG,SG,Web,Adyen,MASTERCARD,98.01,0.377,0.3457,100,0,1,1,Approved,,0,0
73,2024-01-01 01:12:00,1657,4105,37365,1046,SG,SG,Web,Stripe,MASTERCARD,26.38,0.1776,0.1213,56,0,0,0,Approved,,0,0
74,2024-01-01 01:13:00,13355,16439,24487,218,US,US,App,Checkout,MASTERCARD,57.12,0.146,0.1404,1,0,0,1,Approved,,0,1
75,2024-01-01 01:14:00,23044,892,29017,923,PH,PH,App,Stripe,MASTERCARD,308.76,0.0021,0.0823,129,1,0,0,Declined,05,0,0
76,2024-01-01 01:15:00,24794,11842,28629,788,BR,BR,Web,Adyen,MASTERCARD,21.63,0.1496,0.0464,44,1,0,0,Declined,201,0,0
77,2024-01-01 01:16:00,28403,15039,34097,1638,US,US,App,Checkout,MASTERCARD,42.04,0.1137,0.2095,24,0,0,0,Approved,,0,0
78,2024-01-01 01:17:00,29538,9338,31396,688,MX,MX,Web,Stripe,VISA,156.57,0.0471,0.0062,26,0,1,0,Declined,59,0,0
79,2024-01-01 01:18:00,26667,8550,12031,1450,TH,TH,Web,Stripe,VISA,183.72,0.1504,0.0351,155,0,0,0,Approved,,0,0
80,2024-01-01 01:19:00,19289,16899,37534,1212,US,US,Web,Stripe,MASTERCARD,113.52,0.2123,0.0886,145,0,0,0,Approved,,0,1
81,2024-01-01 01:20:00,21098,10347,33650,1570,US,US,App,Stripe,VISA,124.25,0.8009,0.0997,4,0,1,4,Approved,,0,0
82,2024-01-01 01:21:00,2263,7641,9106,1149,TH,TH,Web,Stripe,MASTERCARD,95.27,0.4141,0.0212,156,0,1,0,Approved,,0,1
83,2024-01-01 01:22:00,26416,8007,310,1890,DE,DE,Web,Checkout,VISA,248.41,0.0507,0.006,8,1,0,1,Approved,,0,0
84,2024-01-01 01:23:00,11325,11007,5971,57,IN,IN,App,Stripe,UPI,224.85,0.0017,0.0397,203,0,0,0,Declined,12,0,1
85,2024-01-01 01:24:00,14645,15026,17398,478,DE,DE,App,Checkout,MASTERCARD,34.91,0.1568,0.2673,108,0,0,1,Approved,,0,0
86,2024-01-01 01:25:00,11104,3123,33524,1257,DE,DE,Web,Checkout,VISA,176.57,0.1982,0.1288,31,0,0,1,Approved,,0,1
87,2024-01-01 01:26:00,26999,15263,9537,855,TH,TH,Web,Stripe,VISA,87.33,0.172,0.0589,20,0,0,0,Declined,59,0,0
88,2024-01-01 01:27:00,23441,6893,3240,351,BR,BR,Web,Adyen,VISA,83.28,0.0375,0.2445,248,0,0,0,Approved,,0,0
89,2024-01-01 01:28:00,4308,5896,20425,1773,DE,DE,App,Stripe,VISA,180.81,0.3236,0.2967,70,0,0,0,Approved,,0,0
90,2024-01-01 01:29:00,6079,5718,29979,791,IN,IN,App,Adyen,VISA,36.9,0.4153,0.7566,56,0,0,0,Declined,201,0,0
91,2024-01-01 01:30:00,19137,691,13205,1728,TH,TH,App,Checkout,MASTERCARD,40.63,0.3447,0.1451,23,0,0,1,Approved,,0,0
92,2024-01-01 01:31:00,18571,13952,6204,1359,IN,IN,Web,Adyen,VISA,139.44,0.2782,0.0519,11,0,0,0,Approved,,0,0
93,2024-01-01 01:32:00,13331,16569,237,282,PH,PH,Web,Checkout,MASTERCARD,160.99,0.123,0.1362,14,1,0,0,Approved,,0,0
94,2024-01-01 01:33:00,18732,6893,8380,711,ID,ID,Web,Stripe,MASTERCARD,48.25,0.1816,0.1846,139,0,0,0,Approved,,0,0
95,2024-01-01 01:34:00,23903,11728,39575,1698,BR,BR,Web,Adyen,MASTERCARD,40.64,0.1531,0.1883,9,0,0,1,Approved,,0,0
96,2024-01-01 01:35:00,19599,2195,9679,1149,US,US,App,Checkout,VISA,0.74,0.168,0.0383,91,0,0,1,Approved,,0,0
97,2024-01-01 01:36:00,25257,5791,7615,1814,IN,IN,Web,Checkout,UPI,18.66,0.2373,0.1537,78,0,0,3,Approved,,0,0
98,2024-01-01 01:37:00,8207,11611,41996,1667,IN,IN,Web,Adyen,VISA,49.35,0.0523,0.3524,10,1,0,1,Declined,12,0,0
99,2024-01-01 01:38:00,21717,12985,22858,549,US,US,App,Adyen,MASTERCARD,25.31,0.3065,0.182,24,0,0,0,Declined,51,0,0
100,2024-01-01 01:39:00,20227,14469,31344,821,ID,ID,App,Adyen,VISA,30.75,0.0332,0.0643,18,0,0,0,Approved,,0,0
101,2024-01-01 01:40:00,19081,2851,40193,1160,US,US,Web,Stripe,MASTERCARD,90.9,0.0663,0.141,49,0,0,0,Approved,,0,0
102,2024-01-01 01:41:00,16132,11767,4118,472,IN,IN,Web,Checkout,UPI,38.99,0.4152,0.1974,186,0,0,0,Approved,,0,0
103,2024-01-01 01:42:00,9681,499,31711,557,US,IN,App,Stripe,MASTERCARD,102.35,0.0083,0.111,50,0,0,1,Approved,,0,0
104,2024-01-01 01:43:00,2891,5163,2506,637,US,US,Web,Stripe,MASTERCARD,60.98,0.7647,0.052,28,0,1,1,Declined,201,0,1
105,2024-01-01 01:44:00,15875,11864,189,1762,MX,MX,App,Checkout,VISA,128.08,0.0872,0.3516,43,0,0,0,Declined,12,0,0
106,2024-01-01 01:45:00,6650,7401,40209,150,TH,TH,App,Adyen,MASTERCARD,114.8,0.2544,0.0224,137,0,0,1,Approved,,0,0
107,2024-01-01 01:46:00,25247,6915,22353,1769,US,US,App,Checkout,MASTERCARD,34.88,0.3558,0.0978,33,0,0,0,Approved,,0,0
108,2024-01-01 01:47:00,3865,3863,42657,462,BR,BR,Web,Adyen,PIX,246.27,0.022,0.137,8,0,0,1,Declined,51,0,1
109,2024-01-01 01:48:00,7134,9446,2032,1244,TH,TH,Web,Checkout,VISA,64.53,0.2027,0.169,12,0,0,0,Approved,,0,0
110,2024-01-01 01:49:00,22730,6480,35458,1282,BR,BR,App,Adyen,MASTERCARD,92.04,0.1503,0.2553,10,0,0,1,Declined,51,0,1
111,2024-01-01 01:50:00,16943,10608,19326,742,ID,ID,Web,Adyen,VISA,45.59,0.3095,0.8579,32,0,0,0,Declined,05,0,1
112,2024-01-01 01:51:00,26877,11420,36406,1292,IN,IN,App,Stripe,VISA,194.89,0.0358,0.1835,72,0,0,1,Approved,,0,0
113,2024-01-01 01:52:00,10969,5772,34916,1816,TH,TH,App,Checkout,PayPal,42.74,0.4709,0.1097,75,1,0,1,Approved,,0,0
114,2024-01-01 01:53:00,6295,10072,13393,1179,TH,TH,Web,Stripe,MASTERCARD,130.87,0.348,0.1666,142,0,0,3,Approved,,0,0
115,2024-01-01 01:54:00,25515,4903,17849,576,IN,IN,App,Checkout,UPI,196.99,0.241,0.1773,16,0,0,1,Approved,,0,0
116,2024-01-01 01:55:00,24397,17110,40733,970,BR,SG,Web,Adyen,PIX,166.72,0.1669,0.0376,10,0,0,0,Approved,,0,0
117,2024-01-01 01:56:00,10918,1171,2178,773,US,US,Web,Stripe,VISA,20.65,0.2969,0.1904,48,0,0,0,Declined,14,0,0
118,2024-01-01 01:57:00,12502,16168,44839,239,DE,DE,App,Adyen,PayPal,102.36,0.01,0.1892,1,0,0,0,Approved,,0,0
119,2024-01-01 01:58:00,27364,15081,37112,1937,MX,MX,Web,Stripe,MASTERCARD,54.16,0.1964,0.1488,12,0,1,0,Approved,,0,0
120,2024-01-01 01:59:00,9514,11508,34967,394,BR,BR,Web,Checkout,PIX,89.24,0.4493,0.0852,84,0,0,0,Approved,,0,0
121,2024-01-01 02:00:00,19034,951,36863,691,MX,MX,App,Adyen,MASTERCARD,65.71,0.2842,0.1367,28,0,0,0,Declined,91,0,0
122,2024-01-01 02:01:00,10576,14342,14269,1784,IN,IN,App,Checkout,VISA,153.7,0.1837,0.0431,162,0,0,1,Approved,,0,0
123,2024-01-01 02:02:00,3009,4656,34601,551,BR,BR,Web,Checkout,VISA,164.36,0.3037,0.2032,78,0,0,0,Declined,14,0,0
124,2024-01-01 02:03:00,4614,11086,17180,1291,BR,BR,App,Stripe,PIX,124.65,0.0976,0.0811,8,0,0,0,Approved,,0,0
125,2024-01-01 02:04:00,29982,6893,42512,267,PH,US,App,Stripe,VISA,177.4,0.2306,0.3446,34,0,1,0,Declined,96,0,0
126,2024-01-01 02:05:00,10076,11403,43683,1608,BR,BR,Web,Checkout,PIX,95.06,0.3582,0.1143,22,0,0,2,Approved,,0,1
127,2024-01-01 02:06:00,3191,691,7337,569,US,US,App,Adyen,VISA,123.64,0.03,0.2314,26,0,0,0,Approved,,0,0
128,2024-01-01 02:07:00,14046,12633,334,264,MX,MX,App,Stripe,MASTERCARD,3.76,0.1808,0.2911,29,1,0,0,Approved,,0,0
129,2024-01-01 02:08:00,5657,17655,36145,643,ID,ID,App,Stripe,VISA,24.69,0.0154,0.1468,79,0,0,0,Approved,,0,0
130,2024-01-01 02:09:00,14837,11384,28158,580,US,US,App,Checkout,MASTERCARD,45.07,0.2542,0.268,38,0,0,2,Approved,,0,0
131,2024-01-01 02:10:00,26048,15881,34591,1117,US,US,Web,Checkout,VISA,199.13,0.2204,0.3173,56,0,0,0,Approved,,0,1
132,2024-01-01 02:11:00,10024,15973,21881,1938,TH,TH,App,Adyen,VISA,26.12,0.0237,0.074,1,0,0,0,Approved,,0,0
133,2024-01-01 02:12:00,1111,8007,5683,568,IN,IN,App,Checkout,MASTERCARD,46.94,0.1494,0.0139,118,0,0,0,Approved,,0,0
134,2024-01-01 02:13:00,8234,10459,33211,1156,IN,IN,App,Adyen,UPI,65.82,0.2318,0.0898,62,1,0,1,Approved,,0,0
135,2024-01-01 02:14:00,18191,6957,21430,720,US,PH,App,Stripe,MASTERCARD,40.8,0.0433,0.3333,32,0,1,0,Approved,,0,1
136,2024-01-01 02:15:00,29652,17836,18193,547,TH,TH,App,Checkout,MASTERCARD,4.76,0.0325,0.0621,71,0,0,1,Approved,,0,1
137,2024-01-01 02:16:00,14479,336,32663,389,PH,PH,App,Adyen,MASTERCARD,173.76,0.1891,0.0435,21,0,0,0,Declined,05,0,0
138,2024-01-01 02:17:00,1367,16618,32680,1861,MX,MX,Web,Stripe,VISA,54.7,0.0984,0.106,88,1,0,0,Declined,96,0,0
139,2024-01-01 02:18:00,26684,9295,5786,487,ID,ID,App,Adyen,VISA,115.13,0.0221,0.1773,75,0,0,1,Declined,14,0,0
140,2024-01-01 02:19:00,11375,2885,9497,261,IN,IN,App,Checkout,UPI,74.51,0.4911,0.0375,175,0,0,1,Approved,,0,0
141,2024-01-01 02:20:00,19663,12643,14271,469,MX,MX,App,Stripe,VISA,101.64,0.0659,0.1658,0,0,0,0,Declined,51,0,0
142,2024-01-01 02:21:00,29667,6837,37305,1853,IN,IN,Web,Checkout,VISA,15.84,0.1355,0.2451,52,0,0,0,Approved,,0,0
143,2024-01-01 02:22:00,17468,13545,4379,245,IN,IN,App,Checkout,UPI,86.36,0.1398,0.0758,1,0,0,0,Approved,,0,0
144,2024-01-01 02:23:00,13522,8799,18310,492,ID,ID,Web,Adyen,VISA,112.07,0.1914,0.0169,20,0,0,0,Approved,,0,0
145,2024-01-01 02:24:00,15677,2323,38562,789,TH,TH,Web,Stripe,MASTERCARD,116.86,0.0077,0.0663,25,0,0,0,Declined,201,0,0
146,2024-01-01 02:25:00,6753,7829,21707,76,US,US,App,Stripe,PayPal,74.22,0.2173,0.2588,25,0,0,0,Approved,,0,0
147,2024-01-01 02:26:00,19473,6388,28911,1206,IN,IN,App,Stripe,VISA,33.56,0.1453,0.0838,10,0,0,1,Approved,,0,0
148,2024-01-01 02:27:00,5076,5482,8491,960,US,US,App,Adyen,VISA,145.1,0.0442,0.0934,51,0,0,0,Declined,12,0,0
149,2024-01-01 02:28:00,24331,7757,18727,139,IN,IN,App,Stripe,UPI,178.04,0.3887,0.0292,27,0,0,0,Approved,,0,0
150,2024-01-01 02:29:00,20638,5606,26115,1376,BR,BR,App,Adyen,PIX,72.91,0.1739,0.0409,30,0,0,0,Approved,,0,0
151,2024-01-01 02:30:00,2033,9757,26117,1116,ID,ID,Web,Stripe,MASTERCARD,97.43,0.0182,0.0557,44,0,1,1,Declined,12,0,0
152,2024-01-01 02:31:00,20585,9169,22105,251,MX,MX,App,Stripe,MASTERCARD,192.43,0.2262,0.1942,42,0,0,0,Approved,,0,0
153,2024-01-01 02:32:00,9623,11744,40845,1202,PH,PH,Web,Checkout,MASTERCARD,113.74,0.1334,0.0797,35,0,0,0,Approved,,0,0
154,2024-01-01 02:33:00,6191,15999,5063,1402,US,ID,Web,Stripe,VISA,185.16,0.45,0.0115,84,0,0,0,Approved,,0,0
155,2024-01-01 02:34:00,3650,5682,27433,1558,BR,BR,Web,Stripe,PIX,61.99,0.0755,0.1274,365,0,0,0,Approved,,0,0
156,2024-01-01 02:35:00,8357,10546,17342,289,MX,MX,App,Checkout,MASTERCARD,33.75,0.5769,0.0265,23,1,1,1,Approved,,0,0
157,2024-01-01 02:36:00,26107,10054,43259,382,PH,PH,App,Checkout,VISA,51.25,0.0614,0.0486,0,0,0,0,Approved,,0,0
158,2024-01-01 02:37:00,242,3290,17142,1291,US,US,App,Stripe,VISA,47.4,0.0944,0.1574,215,0,0,0,Approved,,0,1
159,2024-01-01 02:38:00,24746,8412,34815,693,US,US,App,Checkout,VISA,70.11,0.344,0.0912,66,0,0,0,Approved,,0,1
160,2024-01-01 02:39:00,21322,10565,18078,334,MX,MX,App,Checkout,MASTERCARD,45.93,0.264,0.206,26,0,0,0,Approved,,0,0
161,2024-01-01 02:40:00,15951,1321,32789,330,PH,PH,App,Stripe,VISA,132.0,0.005,0.3428,207,0,0,0,Approved,,0,0
162,2024-01-01 02:41:00,10844,15568,28069,1476,ID,ID,App,Stripe,VISA,113.55,0.0433,0.2721,24,0,0,0,Approved,,0,0
163,2024-01-01 02:42:00,28707,2143,17271,358,US,US,Web,Stripe,MASTERCARD,76.6,0.1389,0.0896,14,0,1,0,Declined,96,0,0
164,2024-01-01 02:43:00,11745,17815,16256,91,US,US,Web,Checkout,VISA,171.01,0.0974,0.0475,118,0,1,0,Approved,,0,0
165,2024-01-01 02:44:00,25328,12649,38878,894,ID,ID,Web,Stripe,MASTERCARD,59.05,0.3162,0.1492,6,0,0,0,Declined,201,0,0
166,2024-01-01 02:45:00,27321,10968,44773,697,IN,IN,App,Checkout,VISA,140.39,0.1123,0.0929,47,0,0,0,Approved,,0,0
167,2024-01-01 02:46:00,23735,16282,8850,269,BR,BR,Web,Stripe,MASTERCARD,0.66,0.3102,0.2847,100,0,0,0,Declined,91,0,0
168,2024-01-01 02:47:00,29050,7187,16050,1873,IN,IN,Web,Checkout,VISA,54.71,0.0486,0.0338,3,0,0,0,Approved,,0,0
169,2024-01-01 02:48:00,11705,9297,3622,282,IN,IN,App,Adyen,UPI,1.17,0.0346,0.1361,11,0,0,0,Approved,,0,0
170,2024-01-01 02:49:00,19463,13754,40327,72,US,US,App,Adyen,VISA,75.95,0.1388,0.0074,88,1,0,1,Approved,,0,0
171,2024-01-01 02:50:00,2913,8350,2218,369,TH,TH,Web,Adyen,PayPal,42.57,0.1775,0.1824,91,0,0,1,Declined,201,0,0
172,2024-01-01 02:51:00,18897,13200,10735,956,DE,DE,App,Adyen,MASTERCARD,314.35,0.2922,0.0621,73,0,0,0,Declined,14,0,1
173,2024-01-01 02:52:00,9076,3191,30989,641,US,US,Web,Adyen,VISA,128.91,0.0835,0.1235,95,0,0,0,Approved,,0,0
174,2024-01-01 02:53:00,1824,7618,29193,1250,US,US,App,Adyen,VISA,80.14,0.0671,0.3588,104,0,0,2,Approved,,0,0
175,2024-01-01 02:54:00,8153,17903,1794,44,TH,TH,Web,Stripe,MASTERCARD,42.22,0.1059,0.0767,8,0,0,1,Approved,,0,1
176,2024-01-01 02:55:00,10663,561,40689,1014,PH,PH,App,Checkout,VISA,117.54,0.0897,0.1145,150,0,0,2,Approved,,0,0
177,2024-01-01 02:56:00,9010,11444,32874,1839,DE,DE,App,Checkout,VISA,280.21,0.9621,0.9762,61,0,0,1,Approved,,0,0
178,2024-01-01 02:57:00,9439,4528,1567,820,MX,MX,App,Checkout,PayPal,73.83,0.212,0.191,0,0,0,0,Approved,,0,0
179,2024-01-01 02:58:00,14817,9408,12684,1028,PH,PH,Web,Checkout,MASTERCARD,109.74,0.089,0.0946,41,0,0,0,Approved,,0,1
180,2024-01-01 02:59:00,23616,5753,25029,128,US,US,App,Stripe,VISA,21.29,0.1341,0.0291,173,1,1,1,Approved,,0,0
181,2024-01-01 03:00:00,27766,4402,18986,40,IN,IN,Web,Adyen,UPI,175.75,0.2754,0.2384,83,0,0,1,Approved,,0,0
